experiment,final_train_loss,final_eval_loss,final_train_rel_l2,final_eval_rel_l2,ncc_final_accuracy,margin_snr
flat,4.335308403824456e-06,0.0002939722774802552,0.0024250283313449472,0.02443121358131369,0.7109657039711191,0.4423663801356153
linear_slope_less_params,4.932917363476008e-06,0.00027842612947400386,0.002846147131640464,0.02352304826490581,0.6671931407942239,0.4261681240318269
linear_slope_same_params_same_layers,3.831039521173807e-06,0.0002823941355624508,0.0023274504230357705,0.02087614786190291,0.6268050541516246,0.32302478331867934
linear_slope_same_params_more_layers,3.4993261124327546e-06,0.0002862764561844718,0.0025708773464430124,0.020787903107702732,0.7222472924187726,0.529150315898528
