model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
wave1d-2-58-58-58-58-58-58-58-1-tanh,7,"20,765",2,64.9%,"bc_derivative_l2, bc_derivative_linf, bc_value_l2, bc_value_..."
wave1d-2-70-70-70-70-70-70-70-1-tanh,7,"30,101",2,57.6%,"bc_derivative_l2, bc_derivative_linf, ic_l2, ic_linf, ncc_co..."
wave1d-2-40-40-40-40-40-40-40-1-tanh,7,"10,001","2, 4",40.1%,"bc_derivative_l2, bc_derivative_linf, ncc_accuracy, ncc_comp..."
wave1d-2-28-28-28-28-28-28-28-1-tanh,7,"4,985",3,29.5%,"bc_derivative_l2, bc_derivative_linf, ic_l2, ic_linf, ncc_ac..."
wave1d-2-70-70-70-70-70-1-tanh,5,"20,161",2,26.1%,"bc_derivative_l2, bc_derivative_linf, bc_value_l2, bc_value_..."
