model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
wave1d-2-40-40-40-40-40-40-40-1-tanh,7,"10,001",4,33.4%,"ncc_accuracy, ncc_compactness, residual_l2, residual_linf"
wave1d-2-36-36-36-36-36-1-tanh,5,"5,473",2,28.2%,"ic_l2, ic_linf, probe_rel_l2"
wave1d-2-50-50-50-50-50-1-tanh,5,"10,401",2,26.6%,None
