model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
wave1d-2-85-85-85-85-85-1-tanh,5,"29,581",2,738.9%,"bc_value_l2, bc_value_linf, ic_l2, ic_linf, probe_rel_l2, re..."
wave1d-2-70-70-70-70-70-1-tanh,5,"20,161",2,131.7%,"bc_value_l2, bc_value_linf, ic_l2, ic_linf, probe_rel_l2, re..."
wave1d-2-28-28-28-28-28-28-28-1-tanh,7,"4,985",3,23.9%,"bc_value_l2, bc_value_linf, ic_l2, ic_linf, probe_rel_l2, re..."
