model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
wave1d-2-70-70-70-70-70-70-70-1-tanh,7,"30,101","2, 5",19.8%,"ic_l2, ic_linf, ncc_compactness, residual_l2, residual_linf"
wave1d-2-36-36-36-36-36-1-tanh,5,"5,473",2,16.5%,"ic_l2, ic_linf, probe_linf"
