model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
schrodinger-2-140-140-140-2-tanh,3,"40,182",2,111.1%,"bc_value_l2, bc_value_linf, ic_l2, ic_linf, residual_linf"
schrodinger-2-100-100-100-2-tanh,3,"20,702",2,61.4%,residual_linf
schrodinger-2-100-100-100-100-100-2-tanh,5,"40,902",2,39.0%,residual_linf
schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,"30,172",3,31.7%,"bc_derivative_l2, bc_derivative_linf, residual_linf"
