model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
schrodinger-2-70-70-70-70-70-70-70-2-tanh,7,"30,172",3,233.9%,"bc_derivative_l2, residual_l2, residual_linf"
schrodinger-2-70-70-70-70-70-2-tanh,5,"20,232",4,10.4%,bc_derivative_l2
