model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
burgers1d-2-58-58-58-58-58-58-58-1-tanh,7,"20,765",3,37.2%,None
burgers1d-2-46-46-46-1-tanh,3,"4,509",3,24.1%,None
