model_name,num_layers,num_parameters,non_monotone_layers,worst_degradation_pct,other_metrics_violated
schrodinger-2-40-40-40-40-40-40-40-2-tanh,7,"10,042",2,89.0%,"bc_value_l2, ncc_compactness"
schrodinger-2-140-140-140-2-tanh,3,"40,182",2,26.7%,"bc_value_l2, ic_l2, ic_linf, residual_l2, residual_linf"
